0,true,prediction by hmm,prediction with our model,sentence
792,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]","['such', 'a', 'map', 'will', 'enable', 'the', 'reader', 'to', 'work', 'out', 'for', 'himself', 'how', 'to', 'get', 'from', 'one', 'location', 'to', 'another', 'within', 'the', 'town', '.']"
793,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","['she', 'shrugged', 'and', 'looked', 'thoughtful', '.']"
794,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","['in', 'the', 'early', '1980s', ',', 'at', 'a', 'time', 'when', 'manufacturing', 'industry', 'was', 'collapsing', 'and', 'the', 'outlook', 'for', 'the', 'unskilled', 'looked', 'particularly', 'bleak', ',', 'frustration', 'boiled', 'over', 'in', 'a', 'series', 'of', 'riots', 'in', 'london', ',', 'bristol', ',', 'birmingham', ',', 'liverpool', ',', 'and', 'elsewhere', '.']"
795,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","['can', 'we', 'not', 'use', 'gis', 'technology', 'to', 'construct', 'risk', 'mosaics', '(', 'zeigler', 'et', 'al.', '1983', ')', ',', 'at', 'a', 'variety', 'of', 'spatial', 'scales', ',', 'akin', 'to', 'hewitt', 'and', 'burton', ""'s"", 'hazardousness', 'of', 'a', 'place', '?']"
796,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]","['his', 'mentor', ',', 'enrico', 'fermi', ',', 'later', 'to', 'be', 'called', 'the', 'father', 'of', 'the', 'bomb', ',', 'and', 'emilio', 'segre', '(', 'who', 'died', 'in', 'california', 'earlier', 'this', 'year', ')', '.']"
797,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]","['each', 'step', 'should', 'be', 'simple', 'and', 'complete', 'in', 'itself', 'preferably', 'with', 'some', 'indication', 'that', 'successful', 'completion', 'has', 'been', 'achieved', ',', 'for', 'example', 'the', 'appearance', 'or', 'the', 'change', 'of', 'colour', 'of', 'a', 'signal', 'light', ',', 'or', 'the', 'noise', 'of', 'a', 'motor', 'starting', 'or', 'a', 'change', 'of', 'pressure', 'which', 'indicates', 'that', 'there', 'has', 'been', 'a', 'change', 'in', 'the', 'flow', 'of', 'some', 'material', '.']"
798,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['while', 'telecottages', 'should', 'become', 'self-financing', 'once', 'established', ',', 'they', 'do', 'need', 'initial', 'subsidy', '.']"
799,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['normally', ',', 'the', 'reserve', 'is', 'set', 'only', 'days', 'or', 'hours', 'before', 'the', 'auction', ',', 'when', 'the', 'agents', 'will', 'already', 'have', 'a', 'good', 'indication', 'of', 'how', 'much', 'interest', 'has', 'been', 'shown', '.']"
800,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['this', 'chapter', 'deals', 'with', 'the', 'approach', 'of', 'the', 'criminal', 'law', 'to', 'behaviour', 'which', 'causes', 'or', 'risks', 'causing', 'death', '.']"
801,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['he', 'coughed', ',', 'embarrassed', 'and', 'a', 'little', 'pompous', ',', 'very', 'much', 'conscious', 'of', 'his', 'new', 'status', 'as', 'a', 'father', ',', 'while', 'mcleish', 'remembered', 'that', 'he', 'was', 'a', 'scant', 'four', 'years', 'older', 'than', 'the', 'delinquent', 'tristram', '.']"
802,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['if', 'he', 'had', 'taken', 'his', 'own', 'rule', 'seriously', ',', 'he', 'would', 'have', 'found', 'out', 'that', 'drg', 'has', 'a', 'very', 'modest', 'self-service', 'canteen', 'at', 'its', 'bristol', 'head', 'office', '.']"
803,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]","[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0]","['law', 'conceived', 'of', 'the', 'role', 'of', 'the', 'leader', 'in', 'an', 'exactly', 'opposite', 'sense', 'from', 'balfour', ':', 'he', 'sought', 'to', 'foster', 'unity', 'by', 'placing', 'himself', 'at', 'the', 'head', 'of', 'the', 'discordant', 'elements', 'where', 'balfour', 'had', 'thrown', 'the', 'leadership', 'on', 'the', 'side', 'of', 'restraint', '.']"
804,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","['both', 'are', 'presenting', 'the', 'great', 'russian', 'warhorses', ',', 'boris', 'godunov', 'and', 'the', 'queen', 'of', 'spades', '.']"
805,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]","['and', 'went', 'back', '.']"
806,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'directive', ',', 'which', 'is', 'commonly', 'referred', 'to', 'as', 'the', 'seveso', 'directive', ',', 'was', 'issued', 'in', 'june', '1982', 'and', 'in', 'the', 'uk', 'its', 'requirements', 'were', 'embodied', 'in', 'the', 'control', 'of', 'major', 'accident', 'hazard', '(', 'cimah', ')', 'regulations', '(', '1984', ')', '.']"
807,"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['but', 'i', 'saw', 'no', 'other', 'way', 'out', ':', 'i', 'did', ""n't"", 'know', 'if', 'i', 'would', 'ever', 'have', 'a', 'chance', 'again', '.']"
808,"[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","['so', 'they', 'flourished', 'everywhere', '.']"
809,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]","['she', 'had', 'ruffles', '(', 'not', 'swashbuckling', ')', 'at', 'the', 'neck', 'and', 'the', 'small', 'velvet', 'hat', 'could', ',', 'but', 'did', 'not', ',', 'support', 'a', 'veil', '.']"
810,"[0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 1, 0, 0]","['i', ""'ll"", 'go', 'and', 'get', 'one', 'this', 'afternoon', '.']"
811,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]","['stay', 'saturday', 'night', 'and', 'sunday', 'night', 'and', 'we', 'go', 'back', 'on', 'monday']"
812,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","['a', 'few', 'days', ',', 'the', 'sergeant', 'said', ',', 'grimly', '.']"
813,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['based', 'in', 'switzerland', 'and', 'named', 'after', 'the', 'three', 'transmitters', 'that', 'they', 'used', '.']"
814,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]","['and', 'at', 'the', 'end', ',', 'conlon', 'drew', 'the', 'one', 'hopeful', 'conclusion', ':', 'if', 'this', 'stops', 'capital', 'punishment', 'ever', 'coming', 'back', ',', 'the', 'time', 'i', ""'ve"", 'spent', 'in', 'prison', 'will', 'be', 'well', 'worth', 'it', '.']"
815,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'pattern', 'caused', 'problems', ',', 'in', 'that', 'the', 'circumstances', 'which', 'might', 'trigger', 'off', 'renewed', 'fighting', 'were', 'unpredictable', ';', 'yet', 'the', 'moment', 'an', 'opportunity', 'offered', ',', 'princes', 'had', 'to', 'be', 'prepared', 'for', 'invading', 'their', 'enemies', ';', 'there', 'was', 'no', 'time', 'for', 'lengthy', 'preparation', '.']"
816,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['but', 'the', 'villages', 'are', 'dying', ',', 'becoming', 'suburbs', 'or', 'dormitories', 'where', 'few', 'people', 'work', 'but', 'many', 'sleep', '.']"
817,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['but', 'it', 'will', 'not', 'mean', 'that', 'we', 'are', 'abandoning', 'them', '.']"
818,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['the', 'armoured', 'or', 'plated', 'dinosaurs', 'include', 'some', 'species', 'that', 'seem', 'too', 'heavily', 'burdened', 'with', 'protective', 'armour', 'to', 'have', 'been', 'very', 'active', ',', 'but', 'this', 'does', 'not', 'necessarily', 'mean', 'that', 'they', 'had', 'to', 'be', 'cold-blooded', '.']"
819,"[0, 0, 1, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","['i', 'spoke', 'to', 'today', '.']"
820,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]","['those', 'who', 'kill', 'and', 'are', 'convicted', 'of', 'manslaughter', 'by', 'reason', 'of', 'diminished', 'responsibility', 'are', 'no', 'less', 'dangerous', 'than', 'those', 'convicted', 'of', 'murder', ',', 'and', 'yet', 'the', 'judge', 'has', 'sentencing', 'discretion', 'in', 'one', 'case', 'and', 'not', 'in', 'the', 'other', '.']"
821,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","['oh', 'no', ',', 'ruth', 'said', '.']"
822,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['to', 'please', 'him', 'she', 'nodded', ',', 'then', 'despite', 'lawton', ""'s"", 'presence', ',', 'squeezed', 'delaney', ""'s"", 'arm', '.']"
823,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","['but', 'i', 'did', ""n't"", 'look', ',', 'i', 'did', ""n't"", 'stop', ',', 'it', 'was', 'raining', 'so', 'bad', 'thursday', 'morning', 'and', 'windy', 'that', 'i', 'i', 'went', 'to', 'the', 'market', ',', 'i', 'cut', 'straight', 'through', 'and', 'went', 'up', 'and', 'di', 'went', 'to', 'get', 'the', 'paper', 'then', 'he', 'went', '.']"
824,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","['what', 'was', 'he', 'going', 'to', 'tell', 'anne', '?']"
825,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['among', 'those', 'leaving', 'was', 'cornelia', ',', '22', ',', 'a', 'young', 'east', 'berliner', 'destined', ',', 'she', 'said', ',', 'for', 'west', 'berlin', 'via', 'a', 'very', 'circuitous', 'route', '.']"
826,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0]","['hattersley', 'had', 'suggested', 'that', 'the', 'riots', 'were', 'a', 'direct', 'product', 'of', 'high', 'levels', 'of', 'youth', 'unemployment', ',', 'and', 'a', 'furious', 'debate', 'ensued', 'in', 'both', 'parliament', 'and', 'the', 'media', 'about', 'this', 'assertion', '.']"
827,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","['i', 'know', '.']"
828,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['well', ',', 'it', ""'s"", 'been', 'a', 'real', 'eye-opener', ',', 'said', 'the', 'exec', 'director', '.']"
829,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","['charlotte', 'i', ""'ve"", 'got', 'to', 'finish', ',', 'get', 'home', 'and', 'feed', 'this', 'monster', ',', 'do', ""n't"", 'do', 'that', 'please', '.']"
830,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","['mark', 'demanded', '.']"
831,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['i', 'thought', 'then', 'i', ""'d"", 'be', 'able', 'to', 'use', 'it', 'as', 'an', 'airing', 'cupboard', 'but', 'it', 'still', 'did', ""n't"", 'work', 'but', 'it', ""'s"", 'like', 'you', 'said', 'it', ""'s"", 'because', 'it', ""'s"", 'got', 'such', 'a', 'good']"
832,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","['he', 'walked', 'back', 'to', 'his', 'consulting', 'room', ',', 'dying', 'for', 'a', 'cigarette', '.']"
833,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]","['most', 'computer', 'operators', 'do', 'not', 'know', 'or', 'wish', 'to', 'know', 'about', 'the', 'mechanisms', ',', 'and', 'in', 'any', 'case', 'these', 'are', 'not', 'accessible', 'to', 'vision', 'and', 'manipulation', '.']"
834,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","['i', 'mean', ',', 'are', 'you', 'renting', 'the', 'flat', '?']"
835,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['today', ',', 'i', 'was', 'told', ',', 'villagers', 'living', 'around', 'the', 'great', 'wool', 'churches', 'of', 'lavenham', 'and', 'long', 'melford', 'have', 'to', 'bar', 'their', 'doors', 'and', 'ignore', 'the', 'knocking', 'of', 'tourists', ',', 'who', 'take', 'them', 'for', 'antique', 'shops', 'and', 'offer', 'to', 'buy', 'their', 'furniture', '.']"
